AnimalID,Group,Drug,Dose,Replicate,BodyWgt1,BodyWgt2,BodyWgt3,BodyWgt4,BodyWgt5,BodyWgt6,BodyWgt7,BodyWgt8,BodyWgt9,BodyWgt10,BodyWgt11,BodyWgt12,BodyWgt13,BodyWgtAVEwk1,BodyWgtAVE,FecalWgt1,FecalWgt2,FecalWgt3,FecalWgt4,FecalWgt5,FecalWgt6,FecalWgt7,FecalWgt8,FecalWgt9,FecalWgt10,FecalWgt11,FecalWgt12,FecalWgtAVEwk1,FecalWgtAVE,Urine_ml1,Urine_ml2,Urine_ml3,Urine_ml4,Urine_ml5,Urine_ml6,Urine_ml7,Urine_ml8,Urine_ml9,Urine_ml10,Urine_ml11,Urine_ml12,Urine_mlAVEwk1,Urine_mlAVE,Water_ml1,Water_ml2,Water_ml3,Water_ml4,Water_ml5,Water_ml6,Water_ml7,Water_ml8,Water_ml9,Water_ml10,Water_ml11,Water_ml12,Water_mlAVEwk1,Water_mlAVE,Food1,Food2,Food3,Food4,Food5,Food6,Food7,Food8,Food9,Food10,Food11,Food12,FoodAVEwk1,FoodAVE,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6,Dose7,Dose8,Dose9,Dose10,Dose11,Dose12,DoseAVEwk1,DoseAVE
1143,34-DAP,34-DAP,0.3,F,231.6,223.8,236.3,237,240.9,250.5,247,252.5,252,259.3,283.5,262.1,276.3,239.25,250.2153846,10.51,6.95,8.78,10.36,8.47,6.13,5.62,10.86,7.85,6.6,9.36,7.17,8.533333333,8.221666667,14.3,9.58,10.38,8.89,6.81,,,11.36,9.64,8.51,6.75,5.39,9.992,9.161,30.13,30.03,24.42,28.21,27.12,,,29.27,26.11,24.39,23.66,26.89,27.982,27.023,27.78,25.5,23.14,27.19,23.87,,,29.5,28.98,23.76,24.99,28.15,25.496,26.286,9.039,9.009,7.326,8.463,8.136,0,0,8.781,7.833,7.317,7.098,8.067,6.9955,8.1069
1134,34-DAP,34-DAP,0.3,F,238,233.6,243,244.9,243.4,248.7,241,256.6,253.8,263.3,260.4,262.1,267.1,242.4333333,250.4538462,11.65,7.57,9.27,9.06,7.04,6.57,6.14,10.65,5.09,8.42,6.78,8.21,8.526666667,8.0375,14.17,7.51,7.61,8.43,5.71,,,14.08,8.98,7.95,7.47,5.84,8.686,8.775,41.1,32.48,29.02,24.42,24.16,,,27.84,25.07,22.72,24.23,20.61,30.236,27.165,30.37,30.16,32.35,21.6,27.48,,,32.81,31.45,31.3,30.93,28.01,28.392,29.646,12.33,9.744,8.706,7.326,7.248,0,0,8.352,7.521,6.816,7.269,6.183,7.559,8.1495
1006,34-DAP,34-DAP,1.0,E,236.2,212.2,211.6,214.7,217.6,224,236.2,239.6,242,249,258.9,250,252,219.3833333,234.1538462,7.55,8.74,8.48,4.33,6.92,8.96,9.44,9.45,10.94,22.53,7.81,12.27,7.496666667,9.785,7.51,6.64,3.33,,,8.91,8.53,7.01,7.91,3.85,6.34,3.3,6.5975,6.333,24.92,17.92,24.42,,,32.4,21.65,23.22,27.81,12.87,15.43,25.05,24.915,22.569,29.6,18.51,25.49,,,32.22,18.8,25.74,26,25.86,20.55,25.87,26.455,24.864,24.92,17.92,24.42,,,32.4,21.65,23.22,27.81,12.87,15.43,25.05,24.915,22.569
1010,34-DAP,34-DAP,1.0,E,225.5,203.6,202.2,206.5,216.8,220,225.5,226.8,233.3,233,237.3,236.7,238.4,212.4333333,223.5076923,8.28,5.69,7.02,4.01,6.22,9.55,10.09,8.02,8.85,8.19,10.18,9.23,6.795,7.944166667,6.87,3.07,1.57,,,7.77,5.66,3.06,0.93,0.3,0.84,0,4.82,3.007,13.25,13.2,26.8,,,28.71,21.73,27.97,26.46,24.29,23.93,23.38,20.49,22.972,28.12,30.01,30.34,,,36.84,36.67,37.96,37.6,37.27,35.29,31.44,31.3275,34.154,13.25,13.2,26.8,,,28.71,21.73,27.97,26.46,24.29,23.93,23.38,20.49,22.972
1011,34-DAP,34-DAP,1.0,E,232.4,203.1,210,212.3,216.5,223,232.4,236.5,236.6,242.1,243.3,248.3,246.4,216.2166667,229.4538462,10.96,5.05,9.37,5.4,6.59,11.59,9.55,9.44,12.66,11.12,8.49,10.82,8.16,9.253333333,7.65,1.33,4.41,,,8.23,7.65,6.14,5.26,3.09,1.33,2.08,5.405,4.717,18.12,20.24,35.07,,,30.68,23.73,24.42,33.68,20.1,26.82,24.62,26.0275,25.748,23.15,21.1,22.83,,,33.88,32.37,30.46,37.39,32.56,38.52,29.34,25.24,30.16,18.12,20.24,35.07,,,30.68,23.73,24.42,33.68,20.1,26.82,24.62,26.0275,25.748
1136,34-DAP,34-DAP,1.0,F,236.7,230,242.5,240.6,246.4,252,247,255.5,262,264,267.3,267.5,279.5,243.0833333,253.1538462,13.97,7.38,10.71,9.82,7.74,5.35,5.88,18.06,6.55,8.83,11.04,7.13,9.161666667,9.371666667,22.49,7.34,8.68,4.74,2.51,,,9.45,8.94,7.02,7.1,5.2,9.152,8.347,32.16,27.55,22.5,27.53,23.34,,,31.96,21.42,22.71,21.68,25.91,26.616,25.676,27.79,27.28,25.4,24.29,23.13,,,34.44,23.1,26.82,27.75,27.39,25.578,26.739,32.16,27.55,22.5,27.53,23.34,,,31.96,21.42,22.71,21.68,25.91,26.616,25.676
1135,34-DAP,34-DAP,1.0,F,231,211,222.5,224,230.8,226.9,241.5,243,255,259,263.5,248.4,269.4,226.1166667,240.4615385,10.31,5.21,9.17,7.54,9.66,6.47,6.07,10.88,8.36,8.54,7.3,11.43,8.06,8.411666667,5.89,1.44,3.33,1.58,0.92,,,6.93,3.29,2.77,2.42,0.68,2.632,2.925,14.08,25.77,22.5,23.56,22.14,,,30.65,20.67,22.52,9.13,34.92,21.61,22.594,22.81,24.51,34.4,36.24,27.45,,,52.08,23.81,35.69,7.86,40.75,29.082,30.56,14.08,25.77,22.5,23.56,22.14,,,30.65,20.67,22.52,9.13,34.92,21.61,22.594
1133,34-DAP,34-DAP,1.0,F,230,212.2,214.4,211.5,210.9,206.5,216.7,219.5,224.5,224.6,233.1,232.8,241.5,212.0333333,221.4,9.95,4.93,6.5,6.25,6,4.22,4.46,8.42,5.49,6.53,7.6,6.64,6.308333333,6.415833333,7.1,5.13,4.65,4.7,3.88,,,6.29,6.08,3.2,3.44,2.63,5.092,4.71,28.93,20.03,22.12,21.91,18.47,,,24.26,18.63,22.16,18.33,20.79,22.292,21.563,23.95,21.15,21.69,25.51,25.08,,,41.69,26.7,31.47,30.72,33.56,23.476,28.152,28.93,20.03,22.12,21.91,18.47,,,24.26,18.63,22.16,18.33,20.79,22.292,21.563
1003,34-DAP,34-DAP,3.3,E,152.5,197.9,186.5,176,153.9,158.6,152.5,167.5,197.1,200.1,215.6,197.3,200,170.9,181.1923077,9.14,2.22,0.72,0.66,0.76,1.62,3.56,8.54,9.78,5.86,9.24,5.98,2.52,4.84,4.4,0.66,0.57,,,1.7,2.22,0.52,0.75,0.49,5.41,0.04,1.8325,1.676,3.21,3.18,4.89,,,,62.63,41.86,25.23,9.33,8.05,19.02,3.76,19.71111111,13.06,8.43,10.98,,,8.33,19.01,32.96,25.77,15.18,20.8,31.84,10.2,18.636,10.593,10.494,16.137,0,0,0,206.679,138.138,83.259,30.789,26.565,62.766,6.204,65.04666667
1005,34-DAP,34-DAP,3.3,E,220,199.4,193.3,186.4,193.9,210,220,226.2,228.4,235.7,242.4,243.4,244.5,200.5,218.7384615,5.9,2.44,2.34,1.65,4.58,8.32,7.25,7.49,9.83,9.1,9.19,8.29,4.205,6.365,6.54,1.16,0.86,,,,5.22,3.48,3.32,2.56,3.6,0.35,2.853333333,3.01,6.28,5.62,12.31,,,30.98,25.58,23.03,31.39,27.52,24.81,23.06,13.7975,21.058,15.15,8.73,9.38,,,34.89,,25.56,32.96,27.51,26.92,23.99,17.0375,22.78777778,20.724,18.546,40.623,0,0,102.234,84.414,75.999,103.587,90.816,81.873,76.098,30.3545,69.4914
